ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes
19.981745,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,56464,fd2d:ab8c:225::1,53,udp,0.136721,34,50,SF,1,82,1,98
20.119134,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,64084,fd2d:ab8c:225::1,53,udp,0.008221,34,62,SF,1,82,1,110
32.990827,fe80::5dd3:6bb3:7720:1e83,55831,ff02::1:3,5355,udp,0.123889,44,0,S0,2,140,0,0
32.990991,192.168.1.114,60549,224.0.0.252,5355,udp,0.123763,44,0,S0,2,100,0,0
33.368054,192.168.1.114,137,192.168.1.255,137,udp,1.502603,150,0,S0,3,234,0,0
50.751677,fe80::5dd3:6bb3:7720:1e83,60038,ff02::1:3,5355,udp,0.091234,58,0,S0,2,154,0,0
50.751867,192.168.1.114,63642,224.0.0.252,5355,udp,0.09116,58,0,S0,2,114,0,0
50.780009,fe80::5dd3:6bb3:7720:1e83,49881,ff02::1:3,5355,udp,0.093536,52,0,S0,2,148,0,0
50.780151,192.168.1.114,53942,224.0.0.252,5355,udp,0.093559,52,0,S0,2,108,0,0
50.781154,fe80::5dd3:6bb3:7720:1e83,54826,ff02::1:3,5355,udp,0.093908,58,0,S0,2,154,0,0
50.78132,192.168.1.114,56113,224.0.0.252,5355,udp,0.093968,58,0,S0,2,114,0,0
51.047127,192.168.1.114,137,192.168.1.255,137,udp,1.523569,450,0,S0,9,702,0,0
15.230937,  ,135,ff02::1:ff7f:abb3,136,icmp,0.000075,32,0,OTH,2,128,0,0
15.231084,::,135,ff02::1:ff62:aec8,136,icmp,-,-,-,OTH,1,64,0,0
15.231147,::,135,ff02::1:ff00:2c6,136,icmp,1.992389,32,0,OTH,2,128,0,0
15.231215,fe80::e8ff:97da:2f7f:abb3,133,ff02::2,134,icmp,8.020694,24,0,OTH,3,168,0,0
15.231308,fe80::e8ff:97da:2f7f:abb3,131,ff02::1:ff7f:abb3,130,icmp,5.527026,48,0,OTH,3,216,0,0
15.231389,fe80::e8ff:97da:2f7f:abb3,131,ff02::1:ff62:aec8,130,icmp,11.525402,48,0,OTH,3,216,0,0
15.231463,fe80::e8ff:97da:2f7f:abb3,131,ff02::1:ff00:2c6,130,icmp,7.519872,80,0,OTH,5,360,0,0
15.232693,fe80::da58:d7ff:fe00:f72,134,fe80::e8ff:97da:2f7f:abb3,133,icmp,8.020843,408,0,OTH,3,552,0,0
15.941946,fe80::e8ff:97da:2f7f:abb3,546,ff02::1:2,547,udp,1.16135,310,0,S0,3,454,0,0
15.943102,fe80::da58:d7ff:fe00:f72,547,fe80::e8ff:97da:2f7f:abb3,546,udp,1.161349,375,0,S0,3,519,0,0
15.944654,fe80::e8ff:97da:2f7f:abb3,132,ff02::2,0,icmp,-,-,-,OTH,1,72,0,0
15.944814,fe80::da58:d7ff:fe00:f72,130,ff02::1,131,icmp,2.000058,32,0,OTH,2,144,0,0
18.396508,fe80::5dd3:6bb3:7720:1e83,131,ff02::1:ff20:1e83,130,icmp,-,-,-,OTH,1,72,0,0
19.981242,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,135,ff02::1:ff00:1,136,icmp,-,-,-,OTH,1,72,0,0
19.981543,fd2d:ab8c:225::1,136,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,135,icmp,-,-,-,OTH,1,72,0,0
20.248885,fe80::da58:d7ff:fe00:f72,135,fe80::e8ff:97da:2f7f:abb3,136,icmp,0.000225,24,24,OTH,1,72,1,72
21.401217,fe80::5dd3:6bb3:7720:1e83,131,ff02::1:ff2b:5398,130,icmp,-,-,-,OTH,1,72,0,0
21.582368,fe80::1e6f:65ff:fec0:4392,131,ff02::fb,130,icmp,-,-,-,OTH,1,72,0,0
22.402489,fe80::5dd3:6bb3:7720:1e83,131,ff02::1:ff00:4f7,130,icmp,-,-,-,OTH,1,72,0,0
23.678335,fe80::1e6f:65ff:fec0:4392,131,ff02::1:ffc0:4392,130,icmp,-,-,-,OTH,1,72,0,0
24.984893,fe80::da58:d7ff:fe00:f72,135,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,136,icmp,0.000244,24,24,OTH,1,72,1,72
25.254565,fe80::e8ff:97da:2f7f:abb3,135,fe80::da58:d7ff:fe00:f72,136,icmp,0.000328,24,16,OTH,1,72,1,64
31.567008,fd2d:ab8c:225:0:ac00:3290:42b:5398,135,ff02::1:ff00:1,136,icmp,-,-,-,OTH,1,72,0,0
36.65188,fe80::5dd3:6bb3:7720:1e83,135,ff02::1:ff00:f72,136,icmp,-,-,-,OTH,1,72,0,0
117.500871,fe80::da58:d7ff:fe00:f72,134,ff02::1,133,icmp,-,-,-,OTH,1,184,0,0
142.968869,fe80::da58:d7ff:fe00:f72,130,ff02::1,131,icmp,-,-,-,OTH,1,72,0,0
143.009645,fe80::5dd3:6bb3:7720:1e83,131,ff02::1:ff00:4f7,130,icmp,-,-,-,OTH,1,72,0,0
145.257466,fe80::e8ff:97da:2f7f:abb3,131,ff02::1:ff62:aec8,130,icmp,-,-,-,OTH,1,72,0,0
146.75977,fe80::e8ff:97da:2f7f:abb3,131,ff02::1:ff7f:abb3,130,icmp,-,-,-,OTH,1,72,0,0
146.766382,fe80::1e6f:65ff:fec0:4392,131,ff02::1:ffc0:4392,130,icmp,-,-,-,OTH,1,72,0,0
147.01081,fe80::5dd3:6bb3:7720:1e83,131,ff02::1:ff2b:5398,130,icmp,-,-,-,OTH,1,72,0,0
150.158373,fe80::1e6f:65ff:fec0:4392,131,ff02::fb,130,icmp,-,-,-,OTH,1,72,0,0
151.255953,fe80::e8ff:97da:2f7f:abb3,131,ff02::1:ff00:2c6,130,icmp,-,-,-,OTH,1,72,0,0
151.510058,fe80::5dd3:6bb3:7720:1e83,131,ff02::1:ff20:1e83,130,icmp,-,-,-,OTH,1,72,0,0
201.305209,fe80::5dd3:6bb3:7720:1e83,135,ff02::1:ff00:f72,136,icmp,-,-,-,OTH,1,72,0,0
275.388493,192.168.1.115,49159,178.255.83.1,80,tcp,0.08042,232,858,SF,5,444,5,1070
276.026237,192.168.1.115,49160,178.255.83.1,80,tcp,0.07212,234,1115,SF,5,446,5,1327
273.503417,192.168.1.115,49158,85.31.204.81,443,tcp,3.354241,632,5516,SF,9,1004,9,5888
273.053766,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,60166,fd2d:ab8c:225::1,53,udp,0.197904,40,136,SF,1,88,1,184
273.252576,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,55192,fd2d:ab8c:225::1,53,udp,0.030527,40,148,SF,1,88,1,196
275.094543,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,64715,fd2d:ab8c:225::1,53,udp,0.190006,36,52,SF,1,84,1,100
275.285198,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,60718,fd2d:ab8c:225::1,53,udp,0.098507,36,64,SF,1,84,1,112
275.386661,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,61331,fd2d:ab8c:225::1,53,udp,0.000284,36,52,SF,1,84,1,100
275.387474,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,57456,fd2d:ab8c:225::1,53,udp,0.000428,36,64,SF,1,84,1,112
276.022363,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,58031,fd2d:ab8c:225::1,53,udp,0.000388,36,52,SF,1,84,1,100
276.023194,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,57334,fd2d:ab8c:225::1,53,udp,0.000422,36,64,SF,1,84,1,112
276.024748,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,55785,fd2d:ab8c:225::1,53,udp,0.00023,36,52,SF,1,84,1,100
276.025367,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,58928,fd2d:ab8c:225::1,53,udp,0.00044,36,64,SF,1,84,1,112
287.84507,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,54510,fd2d:ab8c:225::1,53,udp,0.000574,40,136,SF,1,88,1,184
287.846105,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,62111,fd2d:ab8c:225::1,53,udp,0.000437,40,148,SF,1,88,1,196
293.774545,192.168.1.115,49162,41.108.179.197,1177,tcp,3.000517,0,0,S0,2,104,0,0
291.575085,fd2d:ab8c:225:0:81d3:fd3e:7f62:aec8,56593,fd2d:ab8c:225::1,53,udp,0.000431,26,26,SF,1,74,1,74
