ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,duration,orig_bytes,resp_bytes,conn_state,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,anomaly,anomaly_score
19.981745,6,199,43,53,2,0.136721,34,50,4,1,82,1,98,0,-0.31456901463062553
20.119134,6,524,43,53,2,0.008221,34,62,4,1,82,1,110,0,-0.2866176114948268
32.990827,10,189,48,5355,2,0.123889,44,0,3,2,140,0,0,0,-0.12677476041453162
32.990991,2,454,20,5355,2,0.123763,44,0,3,2,100,0,0,0,-0.11579939892804403
33.368054,2,8,14,137,2,1.502603,150,0,3,3,234,0,0,0,-0.12492100789256444
50.751677,10,319,48,5355,2,0.091234,58,0,3,2,154,0,0,0,-0.11852234981951615
50.751867,2,520,20,5355,2,0.09116,58,0,3,2,114,0,0,0,-0.10833364898404274
50.780009,10,55,48,5355,2,0.093536,52,0,3,2,148,0,0,0,-0.12642056753235353
50.780151,2,144,20,5355,2,0.093559,52,0,3,2,108,0,0,0,-0.12331880962045438
50.781154,10,161,48,5355,2,0.093908,58,0,3,2,154,0,0,0,-0.12424018711358098
50.78132,2,197,20,5355,2,0.093968,58,0,3,2,114,0,0,0,-0.12384068915743263
51.047127,2,8,14,137,2,1.523569,450,0,3,9,702,0,0,0,-0.08152250744187417
15.230937,0,6,56,136,0,0.000075,32,0,0,2,128,0,0,0,-0.20109389550094336
15.231084,1,6,55,136,0,0,0,0,0,1,64,0,0,0,-0.2335003478070593
15.231147,1,6,50,136,0,1.992389,32,0,0,2,128,0,0,0,-0.20410870764212002
15.231215,12,4,58,134,0,8.020694,24,0,0,3,168,0,0,0,-0.20795679355554142
15.231308,12,2,56,130,0,5.527026,48,0,0,3,216,0,0,0,-0.22058427199466485
15.231389,12,2,55,130,0,11.525402,48,0,0,3,216,0,0,0,-0.20957894955255502
15.231463,12,2,50,130,0,7.519872,80,0,0,5,360,0,0,0,-0.18372534727150946
15.232693,11,5,45,133,0,8.020843,408,0,0,3,552,0,0,0,-0.19102190205573977
15.941946,12,155,47,547,2,1.16135,310,0,3,3,454,0,0,0,-0.11884892355262333
15.943102,11,158,45,546,2,1.161349,375,0,3,3,519,0,0,0,-0.1365186581803285
15.944654,12,3,58,0,0,0,0,0,0,1,72,0,0,0,-0.2685377904554674
15.944814,11,1,46,131,0,2.000058,32,0,0,2,144,0,0,0,-0.25901134942424264
18.396508,10,2,53,130,0,0,0,0,0,1,72,0,0,0,-0.3094464446549239
19.981242,6,6,49,136,0,0,0,0,0,1,72,0,0,0,-0.27586594041084656
19.981543,8,7,42,135,0,0,0,0,0,1,72,0,0,0,-0.271700946237692
20.248885,11,6,45,136,0,0.000225,24,24,0,1,72,1,72,0,-0.2495583503908489
21.401217,10,2,54,130,0,0,0,0,0,1,72,0,0,0,-0.31058046924933513
21.582368,9,2,60,130,0,0,0,0,0,1,72,0,0,0,-0.28486579425109554
22.402489,10,2,51,130,0,0,0,0,0,1,72,0,0,0,-0.3081496010100129
23.678335,9,2,57,130,0,0,0,0,0,1,72,0,0,0,-0.29978305160713403
24.984893,11,6,42,136,0,0.000244,24,24,0,1,72,1,72,0,-0.24582299007915404
25.254565,12,6,44,136,0,0.000328,24,16,0,1,72,1,64,0,-0.2396833872701698
31.567008,7,6,49,136,0,0,0,0,0,1,72,0,0,0,-0.2778543967164831
36.65188,10,6,52,136,0,0,0,0,0,1,72,0,0,0,-0.2888163004962057
117.500871,11,5,46,133,0,0,0,0,0,1,184,0,0,0,-0.2762322569861384
142.968869,11,1,46,131,0,0,0,0,0,1,72,0,0,0,-0.2981071140034116
143.009645,10,2,51,130,0,0,0,0,0,1,72,0,0,0,-0.3116896302887434
145.257466,12,2,55,130,0,0,0,0,0,1,72,0,0,0,-0.30901205934824155
146.75977,12,2,56,130,0,0,0,0,0,1,72,0,0,0,-0.3084869647679768
146.766382,9,2,57,130,0,0,0,0,0,1,72,0,0,0,-0.3039986676348869
147.01081,10,2,54,130,0,0,0,0,0,1,72,0,0,0,-0.3146875269861899
150.158373,9,2,60,130,0,0,0,0,0,1,72,0,0,0,-0.2880522718837414
151.255953,12,2,50,130,0,0,0,0,0,1,72,0,0,0,-0.30698206654915333
151.510058,10,2,53,130,0,0,0,0,0,1,72,0,0,0,-0.3135655643686239
201.305209,10,6,52,136,0,0,0,0,0,1,72,0,0,0,-0.2916865048635968
275.388493,3,11,10,80,1,0.08042,232,858,4,5,444,5,1070,0,-0.10945113594973854
276.026237,3,12,10,80,1,0.07212,234,1115,4,5,446,5,1327,0,-0.09853060967231775
273.503417,3,10,38,443,1,3.354241,632,5516,4,9,1004,9,5888,0,-0.0618523123185174
273.053766,6,442,43,53,2,0.197904,40,136,4,1,88,1,184,0,-0.28531257463017984
273.252576,6,167,43,53,2,0.030527,40,148,4,1,88,1,196,0,-0.32098630309632936
275.094543,6,532,43,53,2,0.190006,36,52,4,1,84,1,100,0,-0.2748088216632141
